# morfessor1.0.perl, Mon Jun  6 23:43:37 2011
# Working dir: # -data 'bijankhan.txt'
# -finish 0.005
# -rand 0
# -savememory: OFF
# -gammalendistr: OFF
# -zipffreqdistr: OFF
# -load: OFF
# -trace 0
# Vocabulary:
6 یخچال + های
2 دستکم + ی
1 دینی + اس + و + رها
4 گزی
1 خواب + مان
12 عاقل
13 هر + که
19 جهنم
5 با + صفا
11 ببندد
9 بگشاید
3 به + شوخی
5 بیندازم
5 گوش + م
1 خور + و + می
18 طبیب
28 چشمها
10 آن + طور + که
5 هر + کدام
33 بعضاً
1 حروف + چین + ها
1 حروف + چین + کُ + ش
1 حروف + چین + کش
1 صد + هزار
137 تجدید
12 در + این + صورت
2 کرمانی + ها
24 مسی
24 سوراخ
6 خدای + ش
3 بیامرزد
23 رضاشاه
114 بلوچستان
21 لوت
40 بم
3 ریگ + ی
1 وحشت + آور
17 راهنماای
22 تشنه
6 ریگان
9 درخت + های
15 پرگل
4 خر + زهره
1 به + لیمو
63 ساختهای
88 سردار
9 مجلل
2 تعظیم + ی
22 قربان
6 امانالله
5 عامری
2 ب + باید
3 گریست
3 طهران
11 مزید
2 حبلالمتین
44 خاطرات
16 بشنویم
1 فی + اض + ی
2 مق + نی
75 49
15 گذرانده
14 1314
4 19 + 35
88 بینالملل
9 کهنوج
35 بیابانی
2 میکرو + فون
5 شنوا
1 ن + میشنویم
12 طعنه
1 حرفها + ای
7 میزنید
1 پف + ها
3 ه + و + است
1 از + ین + که
2 مشکل + گشا
15 غلیظ
17 وساال
10 ابتداای
9 آن + وقت
7 گمانه
8 گسلها
1 آ + دو + را + شتر + ی
1 گوش + ی + های
3 فرنگی + ها
10 می + گفته
1 میکرو + فون + ها
5 مفت
32 هفتگی
4 سهیل + ی
27 کر
4 سمعک
3 ف + رنگ
5 باطری
6 نایاب
30 شعرا
25 میخواندند
1 رندان + ه
5 می + بست
49 خواننده
30 آهسته
28 مدح
2 جنب + اند
2 به + به
2 اعتنا + ی
2 ن + شنیدند
2 ناچار + م
3 بشنو + م
9 یک + ماهه
3 بدین + جهت
12 چهارصد
24 کیلووات
39 برقی
37 عینک
2 صفر + کیلومتر
64 تنگ
2 تن + ک
4 میر + حسین
26 خوان
1 غم + آباد
18 دگر
7 خط + های
34 ریز
2 ریز + تر
3 غیر + مسلح
15 پشه
74 دویست
2 تا + جاای + که
5 ب + بندند
1 قد + با + ا
48 =
4 ادب + ای
11 مشک
14 دوغ
1 از + ی + نه + است
5 طبس + ی
2 بیتالغزل
1 هم + دندان
6 هم + سن
13 به + حق
8 دهات
2 سولقان
24 نرسد
5 مشیر + الدوله
1 مستوفی + ال + ممالک
1 بازرس + ها
1 دست + به + کار
35 مصداق
19 بازگردد
1 فت + د
6 پیشاهنگ
1 و + ج + یه + الم + له + ها
75 لیست
7 گنج + های
6 باباشمل
8 پرتیراژ
2 برادر + زن
39 شوهر
1 ص + ب + یحه
1 داش
2 آزادی + د
1 دوازدهم + ی
15 نصاب
4 یک + مرتبه
3 فتح + الله
1 فرود + نفر
29 جمال
24 دشتی
182 عدد
1 88 + 88
5 44 + 4
7 گروگان + های
8 ضربالمثل
4 آمده + اید
19 ببرید
7 سرگردان + ی
11 خلاصی
39 مبنا
9 نگویم
18 نسبت + ی
24 نزدیکان
1 در + گاه + ت
3 میبندم
1 سال + و + س + ی
1 ز + را + قی
51 مجلس + ی
2 بولوار + های
4 بی + انتها
1 کوی + و + بر + زن + ی
14 راهگشای
2 گلهای + ی
6 می + نواخت
6 میشناخت + م
1 از + ین + ها
1 از + ین + جا
25 دزدان
1 زندان + م
1 مدیون + م
4 خودمشتمالی
20 132
20 خواندهاند
18 میشوم
1 د + قا + قی
3 92 + 2
23 حمیدی
2 پور + حسینی
56 شهردار
21 هفتصد
16 عتیق
3 پیغمبر + ی
636 86
19 نمیخواهم
4 چلوکباب
1 دزدان + ش
6 پای + ی
1 ا + صف + یا + ا
84 طرفی
5 تجارت + خانه
5 شباهت + ی
2 نوشتههای + م
34 تشبیه
7 اردهال
52 بخار
2 فس + رده
37 گذارد
12 ریگ
2 نهم + ی
2 فریاد + شان
22 سردی
29 آنست
6 نوشتههای + ی
2 با + انصاف
8 کثیر
2 شعرا + ا
1 ادبا + ا
47 تجار
1 قالی + فروش + ان
2 خمیر + مایه
1 به + قاعده
1 هان + مید
5 چاپ + شده
33 پنیر
8 میآموزد
20 ازاا
5 پل + و
1 مست + معین
1 خوش + دهان
2 خطا + پوش
20 باسواد
1 سفرا + ای
6 صاحب + خانه
8 اشتباهات + ی
14 مورخان
69 تعلیم
4 نوشته + ام
1 مال + ایل + زم
18 دادهام
3 گذاشته + ام
1 ات + و + کری + ت + یک
9 تهذیب
4 متن + بی
2 ی + رید
1 رجال + ه
1 ل + حیات + ه
3 حیات + ه
1 ل + رجال + ه
20 دادگاه + ها
54 احضار
1 نان + شناس
12 حقشناس
21 عصبانی
89 قضاای
1 حتمی + ال + اجراا
1 نصر + ه + الدوله
13 فیروز
3 فضاحت
13 پیغام
5 ن + کردید
6 عدلیه
11 315
7 عالی + مقام
1 لقمه + هایی
13 گل + وی
2 چار
1 متن + بی + خوان
1 ابن + عربی + شناس
75 پااین
5 برده + ام
14 360
7 مجاهده
2 دو + درجه + ای
2 ب + قبول + اند
4 2 + 15
3 توهم + ی
1 ملاقات + های + ش
6 شنیده + ایم
8 فیصله
1 جیحون + ها
1 درس + خوانده
2 تاریخ + دان
2 بی + اغراق
129 بغداد
9 کافور
18 کوهستانهای
2 ب + و + ان
5 ار + جان
11 عضدالدوله
1 شه + ن + شاه + ا
3 حسن + ک
8 هدایا
2 مذهبی + و + ن
1 ع + ت + بی
7 قعر
1 برانگیخت + ی
14 هدایای
7 غزنین
1 ب + سوختند
18 بیهقی
2 ضعیف + ال + نفس
47 دار
1 هفت + سنگ
2 4 + 99
64 تونس
3 تاهرتی
6 افریقا
1 تا + هر + ت
4 اسماعیل + یان
5 حشرونشر
1 بُ + ست
9 قندهار
130 طالبان
3 به + نا + حق
19 020
4 42 + 77
2 82 + 42
2 96 + 76
1 هفت + پیچ
1 73 + 2
38 ایرج
4 خادم
1 قی + روان
34 بارانی
1 را + ف + ضی
1 هفت + امام + ی
7 ناصرخسرو
2 مر
1 نا + ص + بی
1 نوال + ه
1 استخوان + ند
210 جمهور
25 تکلم
10 مترجمان
21 چیره
1 ن + بهره
26 طرق
4 قدح
1 من + ِ
1 دل + شده + ٌ
6 زار
1 ساغر + ی
51 پیاپی
2 م + ستان
4 لیک
10 لعل
2 شکر + بار
7 رخسار
9 هم + رنگ
2 التفات + ی
1 زرد + ی
12 مست
1 مینوش
5 سبک + بال
1 به + ت + فقد
1 ق + و
2 خر + امان
1 دست + افشان
1 نه + الان
1 خم + و + خیز
1 محرم + م
1 قدح + ِ
1 آینه + کردار
1 ک + امور
6 سحر + ی
1 سودا + زده
7 رخصت
2 گوا + یا
20 فیض
1 هِ + ش + ت
53 بیدار
114 صادق
5 من + ه
19 رشتهٌ
7 تهیدست
3 گهر + بار
53 دوام
35 قوام
14 رویکرد + ی
4 راهگشا + ست
64 پدیدههای
122 نوین
36 پاسخگو
3 متعهد + انه
49 استحکام
1 با + عزت
36 نیازها
8 پرسشگری
15 دغدغههای
20 دگرگونیهای
17 درحالتوسعه
4 ناموزون
1 نا + همزمان
1 اجبار + آمیز
12 اتکای
78 قدرتهای
92 سطحی
70 ظاهری
12 اندیشید
68 بنیانگذار
46 فقید
78 تجلی
4 الگوهای + ی
2 راهگشای + ی
25 خدشهدار
33 نارضایتی
4 ناپایدار + ی
5 نابرابری + ها
1 بیعدالتی + هایی
15 بیاعتمادی
3 مشارکت + جو
19 تهدیدها
6 فرا + ملی
10 چالشهای + ی
4 نشستهای + ی
17 افقهای
2 تازه + تری
5 چشمانداز + ی
8 قانونمداری
16 بالندگی
65 معنویت
29 سلوک
2 عبدالرحمن + بن + عثمان
7 ثقفی
1 عبداللهبن + مسعود
2 فزاری
1 ث + ور + بن + م + عن
1 سلم + ی
1 عبداللهبن + عصا + م
15 اشعری
15 شما + ها
4 برخی + زید
2 ضحاک
1 ابن + قت + ی + به
5 هر + قدر
8 بلیغ
1 هم + نظر + یم
2 اح + نف
1 می + سپری
1 حسن + بنعلی
8 یکی + یکی
3 برخی + زند
6 مذمت
1 خدای + شان
2 شیطان + اند
10 بهره + ای
43 سلطانی
1 ابو + حنیف
16 مومنان
3 زبان + آوری
32 امتناع
7 ن + پذیرد
2 نیا + م
5 چرخاند
1 زبان + آور + ترین
3 همین + گونه
1 برهنه + ای
1 تیغه + اش
4 بدرخشد
22 حاکمان
97 طرفداران
1 و + الی + ان
13 برهنه
2 چرخ + ان
3 کار + گشا
3 زمینه + چینی
30 ولیعهد
1 خط + به + ای
28 اختیار + ی
86 پادشاهی
41 شاهی
15 جایش
7 درباره + اش
1 و + الذی
18 قال
1 لو + ال + دیه
1 لک + ما
1 ا + حق + اف
30 برادرش
24 عبدالرحمن
10 لعنت
7 پرزرقوبرق
1 پر + تجمل + ی
49 یکپارچه
8 بار + یکی
3 ش + نزار
4 فر + ورود
34 محو
1 به + نزد + ش
1 یک + تایی
17 الحمدلله
1 امر + نا
2 بحمده
1 و + عد + نا
1 ثواب + ه
2 کثیر + ا
2 اشهد
1 و + ح + ده
30 لا
1 محمد + اً
3 نقاب + ی
40 مقدمات
143 ْ
14 نکردهام
3 پدر + شان
3 بترس + د
30 گنجینه
36 نمیرسد
1 هر + قلی
4 قیصر + ی
4 کس + روی
19 شیوهها
2 هر + قل
10 قیصر
10 میمیرد
6 بر + سم
1 ا + قطاع + ی
3 گشایش + ی
9 شنیدهام
1 سال + ش
9 ابنعباس
20 نادانی
1 قوم + ت
8 نگه + دارد
7 ب + هنگام
1 فر + س + این + ده
3 میان + گارد
59 غافل
15 دیکتاتور
4 بکوبد
54 اقدامهای
109 شاهرودی
33 رهنمودهای
24 فرمایشات
8 رنج + ی
17 شاداب
22 بصیرت
37 تجربههای
61 تجربیات
16 پیریزی
1 به + بود + سازی
1 کمال + بخشی
63 دستگاهها
71 بهرهوری
5 رهنمود + ها
3 ضد + اسلامی
9 در + امان
36 نخواهیم
2 آجر + نوشتههای
3 ملی + ان
33 کتیبههای
167 قطعه
44 آجر
1 ه + و + تل + و + دوش
2 این + شوش + ین + ک
40 حفاری
1 انجام + گرفته
5 پرستشگاه
1 ان + شان
25 خدایان
3 گل + میخ + های
7 لعابدار
46 تزاینی
3 پخته + شده
17 1250
70 تزاینات
20 چغازنبیل
5 است + ل
2 سار + گون
21 آشور
10 دایمی
30 ماد
3 19 + 65
41 باستانشناسان
7 اسدآباد
36 اسکار
14 میلیمتر + ی
8 راهبان
74 تجربی
57 2001
49 جشنوارههای
5 پیرمرد + ی
1 راهبان + ی
17 BBC
1 در + ام + ای
1 اپسالا
2 درس + دن
8 شانزدهم + ین
15 فستیوال
52 هامبورگ
21 خریداران
1 توزیع + کنندگان
12 1600
282 توزیع
44 مستعد
31 فیلمسازی
7 به + شمار
120 اهواز
3 ک + را + و + ات
3 متر + سک
1 پنجه + ها
24 سفر + ی
36 دلخواه
55 کشتار
19 بیستمین
31 عکاسی
10 عکاسان
71 ارتقای
5 دانستن + ی + های
18 فرزاد
7 ادیب + ی
3 گراف + یست
28 مإلف
34 میزگرد
22 آرش
2 یدالله + ی
37 فارغالتحصیل
2 چل + کو + فسکی
20 تعزیه
20 برجستهای
19 پیتر
1 رو + ض + ث + ال + شهدای
4 عنایت + الله
6 همایون + ی
43 پیشینه
39 نمایشهای
8 مقایسه + ٌ
1 بلوک + باشی
60 خاکی
12 قطبالدین
42 داود
17 فتحعلی
3 بیگی
12 انور
1 میر + شکر + ای + ی
16 لاله
1 تقی + ان
2 نیک + ن + ولت
3 هنرپیشه + ٌ
5 سینما + دوستان
2 ن + ولت
3 آ + یوری
22 گنبدکاووس
11 پایان + ه
3 این + چه + برون
6 980
8 محمودی + ان
143 54
9 675
1 تردد + ها
1 تردد + کنندگان
9 کامیون + های
146 ورودی
60 کامیون
909 412
19 ترانزیتی
8 570
9 مساحت + ی
3 قرنطینه
6 باسکول
20 دامی
11 دامپزشکی
3 برف + کی
2 م + شکوه
7 گاو + ها
22 ایمنسازی
1 گوساله + های
38 گوسفند
8 خواروبار
4 تماسهای + ی
4 سیلاب + ها
7 5 + 10
8 شیبدار
81 جنگلی
2 کرد + افشار
14 غیرمترقبه
3 نهال + کاری
12 850
17 فرسایش
9 430
81 جنگل
14 دورود
137 خرمشهر
17 170
8 لنگرود + ی
7 5 + 12
6 پیچیدگی + های
35 به + سازی
5 بسته + ایم
136 مهندسی
16 اندیمشک
20 خردادماه
21 1380
241 پل
12 کل + هر
11 پلدختر
2 68 + 52
11 پل + های
14 دوران + های
30 طغیان
263 رودخانه
3 کشک + ان
24 طاقهای
2 جناق + ی
7 هم + گون
2 4 + 73
265 قمری
4 حسن + و + یه
60 ساسانیان
2 بیضی + شکل
3 منحصربهفرد + ی
208 کنگره
3 متالورژی
3 غیر + آهنی
110 مصطفی
1 مإذن + زاده
1 فلزات + ی
20 آلومینیوم
2 استخراج + ی
1 کانه + آرای + ی
60 مکانیکی
2 جوش + کاری
80 حرارتی
2 سرامیک + ها
1 نسوز + ها
1 او + ما + تورم + ن
11 هنرپیشگان
36 ارگانهای
1 نهادها + ای
46 معیشت
9 بر + آوردن
19 سرلوحه
11 حسینی + ان
2 جهان + نمای
2 نظر + پرداز
17 علاقمندی
8 دست + آورد
18 برآید
1 تورم + ن
57 تروریسم
73 بزودی
1 تصویب + شده
47 حامی
1 جانب + دار
16 تروریست
1 لات + ن + برگ
8 کانی
8 آمریکاای + ان
15 حربه
1 دست + در + از + ی
7 اموال + ی
10 سفارتخانه + ها
27 اقیانوسیه
6 تکواندوکار + ان
38 وزنهای
3 رضا + پور
103 هادی
6 مقتدرانه
9 فیلیپین + ی
5 برون + ای
52 پیکارها
31 تاجیک
2 ایمان + زاده
3 حریفان + شان
4 شمشیر + باز + ان
88 ارمنستان
14 شمشیربازی
1 استقلال + یافته
1 س + اتی + ل + ایت
1 گا + گو
5 مرادی + ان
17 ناچیزی
14 رستمی
2 شمشیر + باز
84 کشتیگیر
26 ساول
15 نایبقهرمانی
1 ها + تا + ی + یون
1 ز + و + هر
1 سیم + با + ی + ف
2 رنگرز
1 آری + پو + ف
1 و + انگ + ه + و
1 قربان + اف
1 لیت + ا + ه + و
1 یا + شان
44 96
1 ن + اگا + تا
4 زید + و + ند
1 ز + یانگ
1 سل + ی + تف
1 تا + کا + میت + سو
2 مرعشی + ان
1 سانا + تا + با + ی + ف
1 سا + و + سیم
1 وی + تا + یوری
3 و + و
1 مال + ین + کوف
7 جزینی
56 130
1 زا + ه + و
1 ها + لین
11 غریبی
1 سادی + ف
55 59
76 46
19 مغولستان
38 دهمین
18 مصادف
13 صنعا
1 ع + دن
38 مبادرت
8 تلسکوپ + های
40 صدمه
1 سو + بار + و
5 هاوایی
38 اهم
3 زمینهساز + ان
22 متولی
16 مصباح
1 صحت + و + سقم + ش
12 دلبستگی
5 مسوول + ین
10 اهرمهای
5 اهانت + ی
18 آشکار + ی
37 رییسجمهور
22 هتک
88 حرمت
5 پشتوانه + ای
73 تفاوتهای
4 بنیان + ی
19 ی + کسانی
19 پیشه
12 کاربرد + های
25 ناکارآمد
7 انتقادات + ی
35 برداشتن
56 فراموشی
20 متمایل
5 یار + گیری
1 در + و + نشان
3 وجاهت + ی
1 میترا + ش + ند
53 شکوفایی
47 ایجاب
18 بازشناسی
15 متحجر
30 وضعی
17 پررنگ
2 سکاندار + ی
3 صاحبنظران + ی
12 ناباوری
21 بوته
5 صورت + ها
23 برجستهترین
1 رها + و + رد
9 جنبش + ی
1 تحقیق + اً
6 ابهام + ها
5 تردید + ها
4 سکاندار
19 تکوین
12 نخواسته
3 ن + پسندیده
2 اقبال + ی
6 نظریههای + ی
15 آشفتگی
17 بدرستی
101 حافظه
19 انباشته
2 تحریف + ها
4 تلقی + ها
14 برداشت + های
1 تحریف + های
4 قواره
9 قامت
2 نگریسته + اند
11 هر + آنچه
3 لغزشها + ی
12 گفتار + ی
64 نخبگان
5 انفصال
1 تشکیلاتی + اش
30 سهساله
5 آموزه
60 خطای
102 کوتاهمدت
39 هدفهای
1 نا + پختگی
7 برخی + ها
12 دوستان + ی
9 نظریهپرداز + ی
5 نگاه + ها
5 نظرات + شان
2 محکم + ات
10 دومخردادی + ها
1 تکثر + ی
30 اجماع
39 اشتراک
1 ارادت + سالاری
17 حقانیت
3 تازه + ی + ی
13 موجه
5 فسخ
12 قرارداد + ها
7 جنجال + های
52 قراردادهای
1 امیر + هوشنگ
60 سرمایهگذاریهای
1 فسخ + شده
68 ساختاری
70 درحالحاضر
13 133
11 129
9 12 + 1
44 غیررسمی
7 وام + ها
25 بازدهی
110 سیستمهای
32 اعطا
87 انجامید
10 آستانهٌ
1 ال + ت + قا + ط
4 جام + هٌ
2 اصلاح + خواهی
38 جبههٌ
10 کشاندند
4 غیر + ملی
11 تریبون + های
14 متولیان
2 مصلحت + سنجی + های
6 غیر + اصولی
2 سرانجام + ی
9 سکولار
2 گمان + هٌ
10 تجدید + نظر
1 شاخص + هٌ
14 آموزههای
5 اندیش + گی
1 مغربزمین + یان
12 دیانت
8 چانهزنی
1 ر + فرمهای
1 نام + تجانس
1 گزار + ه + های
1 پر + سابقه
3 می + پنداشت
1 مدعی + ات
4 خلط
6 بدعت
7 متبادر
14 آفات
50 خطرات
19 گوشزد
2 ارزش + زدایی
1 اصلاح + گرایی
3 غلت + یدن
14 بازخوانی
8 عمدهٌ
11 بکشانند
11 دایرهٌ
8 پیرامون + ی
6 سمع
11 تشنجزدایی
1 ارزش + گرا + یا + نه
11 فال
3 بدبینی + ها
6 تر + از + وی
77 سنجش
1 بن + هند
45 بر + دارند
8 طلا + های
25 ربوده
2 خردسال + ش
110 73
10 همسرم
1 پدر + شوهر + م
20 شعبههای
2 کار + گشایی
7 5 + 40
10 طلا + ها
74 سرگرم
3 زندگی + ام
2 سر + بار
1 خانه + ی + ی
31 اجاره
1 طلا + هایی
9 خانواده + ام
7 گشتم
1 اثاث + کشی
6 هم + سرتان
3 ش + و + که
46 گواهی
18 دادهایم
16 متوفی
2 مظان
51 بازجویی
17 نبودهاند
9 معمای
1 احضار + یه + ی + ی
6 امانات
22 فراخواند
22 بارانهای
11 سیلآسا
32 غیرنظامی
1 سان + لوییس
1 ای + و + کان
1 و + را + ک + روز
1 ترقه + سازی
13 آتشبازی
5 ترقه
1 و + ا + فلک + و + فر
14 جراحات
12 والنسیا
9 انفجار + های
8 لطمات
22 خوارزمی
20 معادلات
10 حالت + های
70 طبقهبندی
15 مدون
12 شاخهای
64 ریاضیات
24 هندسه
8 جبر + ی
9 وقوف
7 پیشین + یان
23 پیش + ی
6 شرفالدین
23 بنایی
1 شالوده + اش
39 ریخته
1 دیوارههای + ش
4 زیست + ه
67 تمدنی
1 تازه + نفس + تر
19 دکارت
17 وارث
4 معاصر + ان
10 اسلاف
1 لاتین + ی + نویس
1 چهار + صدمین
2 سور + بن
63 مورخ
13 نیوتن
17 منحنیهای
1 ترانس + اند + انت + ال
8 فرمول + ی
3 توصیف + ات
9 فضا + ها
11 پاسکال
17 قضای
2 کشانید + ه
11 درخشید
23 مثلث
47 فرمول
7 ضرایب
4 بین + م
2 ضریب + های
18 چینیها
1 فیال + معادلات
3 پنجاه + ساله
13 مشتق
4 فر + ما
1 ؤ + شکل
2 م + صادرات
15 اقلیدس
20 کوششهای
5 تو + از + ی
2 هندسه + های
2 غیر + اقلیدس + ی
31 میکوشد
1 نا + اقلیدس + ی
1 هندسه + ها
22 تناقض
4 اقلیدس + ی
1 مست + وی
114 منحنی
9 لزوما
29 ضرورتهای
3 نظام + یافته
1 ریاضیدان + انی
8 بعضا
1 هندسه + هایی
47 موازات
52 موازی
1 تن + سی + ق
3 ا + خلاف
1 کنکاش + ها
1 ساوال + انگیز + ی + ها
9 نقد + های
13 منجم
2 اس + فزاری
14 میمون
1 واسط + ی
9 ملکشاه
48 سلجوقی
25 تقویم
3 تقویم + ی
5 دقیق + ترین
2 تقویم + های
6 شرحمااشکل
43 نجوم
1 تحقیق + هاای
6 مآخذ
12 دراینباره
2 ریاضیدان + ی
10 نجوم + ی
5 متقن
32 قیاس
11 فعلا
36 شاخههای
11 چهارگانه
6 هماای
4 خیام + ی + نامه
1 ال + مشکل
25 مایعات
1 هیدرواستات + یک
1 آلیاژ + ها
1 میزان + الحکمه
11 عبدالرحمان
42 خازنی
2 پی + نوشت + ها
25 نسخههای
13 جبار
1 نسخ + ی
12 متن + ی
46 جلال
5 هم + ای + ی
1 موثق + ترین
5 ابنهیثم
7 معصوم + ی
48 همدانی
1 هندسه + دانی
38 نو + به
1 سین + وی
2 هندسه + دان
18 تاآنجاکه
1 نور + شناختی
35 برمیآید
30 خرده
9 حادث
14 قبل + از
24 فرضی
1 ثابت + اب + نقره
26 عالمان
6 نه + صدمین
8 ستاره + شناسی
89 حکیم
134 ق
1 منطقه + ال + بر + و + ج
11 حایز
26 نخ
12 پشم
1 ریز + بافت
9 /84
2 / + 81
1 لچک + هایی
13 عطارد
60 ظروف
58 نقوش
18 صور
10 فلکی
1 زیر + لاک + ی
2 سفالی + نه + های
4 زرینفام
35 عکسهای
2 صانع
36 پیشکسوتان
36 ویژگیها
14 مالکومایکس
24 لوایس
14 فراخان
12 سیاهپوستان
2 آ + تا + لا
3 شب + از
8 سیبیاس
88 اعتراف
15 بیاعتبار
3 مالک + و + م
7 نداشته + ام
13 خاصه
13 خصومت
8 در + از + ا
1 کی + بی + لا
25 بخاطر
3 بت + ی
6 بیوه
1 الی + جاه
33 طرد
1 ب + حدی
4 کنتس
4 دونوآی
10 دلگشا
1 آن + ام + اتی + و
1 خون + گرم + ترین
3 شاعر + ه
3 187 + 6
5 19 + 33
52 شاهزاده
62 قفقاز
3 قفقاز + ی
8 شیفتگان
147 بهخصوص
3 استادان + ه
15 غمانگیز
3 خواندن + ش
1 رخوت + ی
3 دل + گشایی
3 برداری
47 بهشت
17 بلبل
2 نغمه + سرا + ای
6 ش + قایق
1 میش + کف + د
1 عن + بر + ین + ب + و
7 میسپارد
3 سبز + شان
1 پر + و + قار
1 آتشین + خو
5 صوفیان + ه
1 طاووس + های
4 سر + مست
2 باد + هٌ
2 بیاسایند
3 فانوس + های
3 گوارا + ی
1 نوشید + هاند
1 من + ید
7 زود + ی
17 سپید
4 گل + بن
10 پرپر
12 میتوانست + م
9 میگذشتند
25 شبهای
63 مشرق
15 دلی
39 آیندهای
10 ناپیدا
19 گلخانهای
13 وسعت + ی
55 مدیترانه
23 گرمسیری
84 97
4 4 + 31
9 مدیترانه + ای
134 سقف
1 گل + خانه + مانند
1 بالش + تک
9 آلومینیوم + ی
39 گربه
36 مرده
2 اهمیت + شان
6 دست + آموز
37 مطالعاتی
2 دیدار + کننده
16 آگاهی + های
9 میان + سال
5 مساولیت + پذیر
94 یافتهاند
1 هلیکوباکتر
4 پیلوری
3 پر + مساولیت
3 مواجه + اند
11 سکته + های
5 دیانای
24 پر + و
7 اختلاف + ها
8 شباهت + های
6 غیرمنتظره + ای
12 همسان
59 هیچیک
7 پرفسور
1 دو + گل + اس
4 میکرو + بیولوژی
5 ملک + ولی
6 اسپانیا + ایها
2 این + کا + ها
1 بومی + انی
52 تنگه
1 بر + ینگ
10 گود
39 زمینهساز
9 خطرناک + ترین
26 دموکراتها
13 کمین
2 رود + لف
2 جولیا + نی
37 کماکان
7 دمکرات + ها
15 هیلاری
42 احراز
1 رنج + ل
10 هیاهو
53 انصراف
12 کنوانسیون
46 جمهوریخواهان
3 اسپورتینگ
9 لیسبون
15 هفدهمین
1 سال + گوا + روسی
10 پورتو
2 پرچم + هایی
5 صف + های
13 بوق
5 پایکوب + ی
36 شمیرانات
4 اقمار
3 آی + وی
28 آتشفشان
6 دالکی
11 گالیله
18 قمر
4 ستاره + شناس
33 توانستهاند
14 فوران
1 طول + موجهای
2 مادون + قرمز
1 میلی + میکرو + ن
4 شکاف + ی
1 کل + وین
11 ستون + ی
9 دهنه
1 کانی + مد
1 کاریس + تو
32 کانادایی
8 گردوغبار
5 باکتری + ای + ی
3 اندوتوکسین
3 کارآموز + ان
10 میکروب + های
3 تیاناف + آلفا
13 شاخص + ی
6 پیش + گویی
2 رید + کر
7 272
10 خون + شان
4 /7 + 1
1 پیک + و + گرم
1 تیاناف
16 بیثباتی
4 التهاب + ی
1 ره + گش + ای
24 درمانهای
16 سوختگی
2 شبکههای + ی
2 انیتگ + را
31 آسیبدیده
3 سوختگی + های
52 لایههای
3 ترشح + ی
1 رشد + دهنده
8 کیسه + های
26 دردناک
48 یوسف
1 ما + زند + ی
16 یونایتدپرس
6 عبدال + رضا
31 هوشنگ
99 پارسی
1 علامت + هایی
17 الف + با
11 بدبختی
2 بیچارگی
1 تیره + روزی
3 جا + چراغ + ی
24 شیشهای
10 اصطلاحاً
2 آوا
5 غیب + ی
5 افیون
31 جوهر
10 خشخاش
147 تپه
2 پشته
119 برجستگی
22 لاستیک
45 دامنههای
1 کشتی + با + ن
3 صلح + طلبی
25 اقلیتهای
29 سرسبز
3 سمی + ع
1 نی + و + ش + نده
12 اسفندیار
5 متاع
5 بد + کار
2 بد + کردار
17 لای
26 جامه
3 کف + پوش
13 دیرین
52 مرطوب
10 آبدار
38 خالص
2 مور + ت
1 موز + ل
7 آلت
3 سود + اگر + ی
1 غیر + عمده
83 هندوستان
8 اوتارپرادش
3 چهار + دیواری
2 حجرهها + ی
18 بندری
3 مجسمه + ای
10 مفرغی
1 پیکره + ساز
1 حجم + گر
3 کو + بیست
3 غر + ان
14 اتحادیه + های
98 هواپیمایی
12 همسایگی
14 را + کد
1 راهی + شده
65 عازم
8 سیدالشهدا
39 نهنگ
11 بالن
2 حروف + نگاری
111 رایانهای
8 لاستیک + ی
1 جوهر + آ + گین
14 برگزیدهاند
15 سهل
16 باتری
20 کنایه
2 تک + بر
3 افاده
28 جوش
5 والد
53 فن
2 رزم + آزمایی
18 فرمانروایی
203 دریاچه
1 با + ی + کال
1 لا + پت + ف
1 بر + خوردن
18 آسفالت
1 گیر + است
9 دورویی
1 ندا + داده + شده
1 آدم + آهنی
5 ارژنگ
1 ضد + بید
1 ت + یله
4 پرسشنامه + ای
5 هوموسیستاین
195 آزمون
31 بالاتری
19 مادهای
22 گوشتی
9 سوختوساز
6 اصفهانی + ان
30 فقهی
300 بازرگانی
1 آقا + بزرگتر
6 کابل + ی
3 رضا + ای
15 آشتیانی
1 فرم + هین + ی
30 فراهانی
102 پروانه
7 نجمآبادی
1 نقاب + ت
3 دهقان + پور
1 گرا + یلی
1 م + کار + ه + چی + ان
25 بهبهانی
9 ادهمی
1 آستان + ی
1 آذر + گین
1 شیخ + ی + نژاد
22 رحیمی
14 صلح + ی
24 ناصری
1 روان + مهر
2 قاضی + ان
54 کادر
29 گلچین
15 پربار
20 یکسره
1 ارزنده + ٌ
1 فهرست + نگاری
5 تذکره + نویسی
2 شبهقاره + ٌ
22 گذاردن
3 تؤلیفات + ی
28 سودمند
7 شتافت
2 نام + داران
30 دهلی
1 فارسی + دان
2 میبرد + م
14 جملهٌ
4 کارهای + م
1 چندساله + ٌ
59 آرزو
3 مجلد + ات
11 برجستهٌ
59 معانی
2 ادب + دوستان
11 فروزان
2 خط + هٌ
4 نورافشانی
1 ادب + شناس
8 روانشاد
2 هند + شناس
3 خواسته + ٌ
98 ازآنجاکه
11 مناسبت + های
4 نذیر
4 متبحر
91 نثر
8 مصرانه
14 شناساندن
1 گرانقدر + شان
28 بدینوسیله
2 ت + تبعات
14 تؤلیفات
15 تذکره
1 ع + و + ای + ق
2 مشغله + های
17 در + خواستهای
70 اردو
